profile	sortino	irr	max_drawdown	total_return	deposit_count	beat_benchmark	passed
7030_I0	35.567985	+3.57	-15.31	+19.33	120	是	✅
7030_I25	1.618307	+3.37	-17.61	+23.03	120	是	✅
7030_I50	0.790188	+3.24	-21.90	+26.70	121	否	❌
7030_I75	0.352271	+3.14	-27.55	+30.22	121	否	❌
7030_I100	0.058472	+3.06	-32.38	+33.74	1	否	❌
6040_I0	41.488118	+3.44	-12.56	+18.56	120	是	✅
6040_I25	1.878503	+3.27	-14.16	+22.21	120	是	✅
6040_I50	0.912849	+3.16	-17.67	+25.90	121	否	❌
6040_I75	0.402336	+3.06	-22.53	+29.40	121	否	❌
6040_I100	0.059913	+2.99	-27.68	+32.89	1	否	❌
5050_I0	49.781248	+3.31	-9.69	+17.80	120	是	✅
5050_I25	2.246161	+3.16	-11.36	+21.44	120	否	❌
5050_I50	1.083657	+3.06	-13.70	+25.05	121	否	❌
5050_I75	0.472313	+2.99	-17.12	+28.57	121	否	❌
5050_I100	0.061881	+2.93	-22.60	+32.04	1	否	❌
4060_I0	62.312241	+3.18	-6.70	+17.02	120	否	❌
4060_I25	2.799447	+3.06	-8.43	+20.67	120	否	❌
4060_I50	1.341116	+2.97	-9.74	+24.24	121	否	❌
4060_I75	0.576995	+2.91	-12.48	+27.75	121	否	❌
4060_I100	0.064750	+2.86	-17.13	+31.19	1	否	❌
3070_I0	82.825535	+3.05	-4.86	+16.26	120	否	❌
3070_I25	3.696833	+2.96	-5.84	+19.90	120	否	❌
3070_I50	1.759858	+2.89	-6.71	+23.42	121	否	❌
3070_I75	0.746064	+2.83	-8.04	+26.93	121	否	❌
3070_I100	0.068945	+2.79	-11.22	+30.34	1	否	❌
