profile	score	sharpe	drawdown	ann_ret	beat	excess
7030_M_none	0.155977	0.155977	-0.366137	0.068119	True	0.027097
7030_M_15	-1.487802	-1.087802	-0.899895	-0.131239	False	-0.172261
7030_M_20	-1.629177	-1.229177	-0.921493	-0.151519	False	-0.192541
7030_Q_none	0.164097	0.164097	-0.366556	0.069546	True	0.028523
7030_Q_15	-1.688405	-1.288405	-0.920663	-0.150127	False	-0.191150
7030_Q_20	-1.620053	-1.220053	-0.920991	-0.150640	False	-0.191662
7030_Y_none	0.161536	0.161536	-0.356408	0.069220	True	0.028197
7030_Y_15	-1.831282	-1.431282	-0.920386	-0.170892	False	-0.211914
7030_Y_20	-1.102254	-0.702254	-0.836891	-0.074783	False	-0.115806
6040_M_none	0.161023	0.161023	-0.315447	0.064806	True	0.023784
6040_M_15	-1.803982	-1.403982	-0.911711	-0.149152	False	-0.190174
6040_M_20	-1.941770	-1.541770	-0.920654	-0.156898	False	-0.197920
6040_Q_none	0.171845	0.171845	-0.315966	0.066447	True	0.025425
6040_Q_15	-1.543939	-1.143939	-0.865047	-0.118897	False	-0.159919
6040_Q_20	-1.931368	-1.531368	-0.921090	-0.156802	False	-0.197824
6040_Y_none	0.168731	0.168731	-0.304009	0.066145	True	0.025123
6040_Y_15	-1.788731	-1.388731	-0.912208	-0.148928	False	-0.189950
6040_Y_20	-1.825723	-1.425723	-0.916390	-0.152375	False	-0.193397
5050_M_none	0.261727	0.161727	-0.261316	0.060710	True	0.019687
5050_M_15	-2.103554	-1.703554	-0.905789	-0.150703	False	-0.191725
5050_M_20	-0.661378	-0.261378	-0.571944	0.007380	False	-0.033643
5050_Q_none	0.275512	0.175512	-0.261976	0.062466	True	0.021443
5050_Q_15	-2.095481	-1.695481	-0.907271	-0.151312	False	-0.192334
5050_Q_20	-1.997942	-1.597942	-0.886152	-0.137807	False	-0.178829
5050_Y_none	0.272012	0.172012	-0.249809	0.062228	True	0.021205
5050_Y_15	-2.191132	-1.791132	-0.911728	-0.154817	False	-0.195840
5050_Y_20	-1.998376	-1.598376	-0.887545	-0.138557	False	-0.179579
4060_M_none	0.256039	0.156039	-0.203573	0.055968	True	0.014946
4060_M_15	-2.451778	-2.051778	-0.884114	-0.142479	False	-0.183501
4060_M_20	-0.574339	-0.174339	-0.406242	0.022296	False	-0.018726
4060_Q_none	0.272552	0.172552	-0.204319	0.057668	True	0.016645
4060_Q_15	-2.431548	-2.031548	-0.884726	-0.142336	False	-0.183358
4060_Q_20	-0.719953	-0.319953	-0.508391	0.008176	False	-0.032846
4060_Y_none	0.269040	0.169040	-0.204336	0.057527	True	0.016505
4060_Y_15	-2.658852	-2.258852	-0.906749	-0.157239	False	-0.198261
4060_Y_20	0.265756	0.165756	-0.215233	0.057326	True	0.016304
3070_M_none	0.185788	0.135788	-0.145387	0.050468	True	0.009446
3070_M_15	0.185788	0.135788	-0.145387	0.050468	True	0.009446
3070_M_20	0.185788	0.135788	-0.145387	0.050468	True	0.009446
3070_Q_none	0.255933	0.155933	-0.143173	0.052044	True	0.011021
3070_Q_15	0.255933	0.155933	-0.143173	0.052044	True	0.011021
3070_Q_20	0.255933	0.155933	-0.143173	0.052044	True	0.011021
3070_Y_none	0.252609	0.152609	-0.156477	0.051977	True	0.010955
3070_Y_15	0.246080	0.146080	-0.167628	0.051565	True	0.010543
3070_Y_20	0.252609	0.152609	-0.156477	0.051977	True	0.010955
