profile	score	sharpe	drawdown	ann_ret	beat	excess
PP_M_none	0.237728	0.237728	-0.123532	0.055682	False	-0.014758
PP_M_15	0.237728	0.237728	-0.123532	0.055682	False	-0.014758
PP_M_20	0.237728	0.237728	-0.123532	0.055682	False	-0.014758
PP_Q_none	0.229701	0.229701	-0.130925	0.055274	False	-0.015165
PP_Q_15	0.229701	0.229701	-0.130925	0.055274	False	-0.015165
PP_Q_20	0.229701	0.229701	-0.130925	0.055274	False	-0.015165
PP_Y_none	0.226185	0.226185	-0.141212	0.055399	False	-0.015041
PP_Y_15	0.226185	0.226185	-0.141212	0.055399	False	-0.015041
PP_Y_20	0.226185	0.226185	-0.141212	0.055399	False	-0.015041
30_30_30_M	0.336285	0.336285	-0.146938	0.066616	False	-0.003824
30_30_30_Q	0.327996	0.327996	-0.154790	0.066131	False	-0.004308
30_30_30_Y	0.320099	0.320099	-0.165732	0.065987	False	-0.004453
33_33_33_M	0.434915	0.384915	-0.162216	0.073847	True	0.003407
33_33_33_Q	0.427015	0.377015	-0.170330	0.073343	True	0.002903
33_33_33_Y	0.415861	0.365861	-0.181736	0.072874	True	0.002434
40_30_20_M	0.266644	0.266644	-0.195794	0.065392	False	-0.005048
40_30_20_Q	0.260670	0.260670	-0.203619	0.064918	False	-0.005522
40_30_20_Y	0.255228	0.255228	-0.215254	0.064770	False	-0.005670
20_40_20_M	0.235002	0.235002	-0.097778	0.052499	False	-0.017941
20_40_20_Q	0.225510	0.225510	-0.102432	0.052093	False	-0.018347
20_40_20_Y	0.224963	0.224963	-0.112766	0.052362	False	-0.018078
