profile	score	sharpe	drawdown	ann_ret	beat	excess
7030_M_none	-0.156846	-0.156846	-0.292527	0.022238	False	-0.002765
7030_M_10	-2.996643	-2.596643	-0.895798	-0.178068	False	-0.203071
7030_M_15	-2.974910	-2.574910	-0.894817	-0.177354	False	-0.202356
7030_M_20	-1.380929	-0.980929	-0.677716	-0.060935	False	-0.085937
7030_M_25	-0.972187	-0.572187	-0.468054	-0.022854	False	-0.047857
7030_Q_none	-0.157687	-0.157687	-0.292394	0.022183	False	-0.002820
7030_Q_10	-2.995650	-2.595650	-0.895808	-0.178061	False	-0.203064
7030_Q_15	-2.974567	-2.574567	-0.894793	-0.177324	False	-0.202327
7030_Q_20	-1.381061	-0.981061	-0.677372	-0.060946	False	-0.085948
7030_Q_25	-0.968371	-0.568371	-0.467662	-0.022470	False	-0.047473
7030_Y_none	-0.151208	-0.151208	-0.291410	0.022974	False	-0.002028
7030_Y_10	-2.995152	-2.595152	-0.895737	-0.177989	False	-0.202991
7030_Y_15	-2.666537	-2.266537	-0.857846	-0.159380	False	-0.184382
7030_Y_20	-1.367157	-0.967157	-0.677442	-0.059895	False	-0.084898
7030_Y_25	-0.922872	-0.522872	-0.441664	-0.017167	False	-0.042169
6040_M_none	-0.171454	-0.171454	-0.244549	0.023423	False	-0.001579
6040_M_10	-3.043508	-2.643508	-0.848437	-0.150282	False	-0.175285
6040_M_15	-2.672799	-2.272799	-0.801880	-0.133997	False	-0.159000
6040_M_20	-1.205190	-0.805190	-0.536235	-0.032853	False	-0.057855
6040_M_25	-0.171454	-0.171454	-0.244549	0.023423	False	-0.001579
6040_Q_none	-0.172510	-0.172510	-0.244344	0.023369	False	-0.001634
6040_Q_10	-3.042231	-2.642231	-0.848393	-0.150239	False	-0.175242
6040_Q_15	-2.671826	-2.271826	-0.801702	-0.133903	False	-0.158906
6040_Q_20	-1.177384	-0.777384	-0.525751	-0.030439	False	-0.055442
6040_Q_25	-0.172510	-0.172510	-0.244344	0.023369	False	-0.001634
6040_Y_none	-0.163698	-0.163698	-0.243214	0.024271	False	-0.000731
6040_Y_10	-3.035065	-2.635065	-0.847128	-0.149542	False	-0.174544
6040_Y_15	-2.902269	-2.502269	-0.837808	-0.144832	False	-0.169835
6040_Y_20	-0.668244	-0.568244	-0.395880	-0.012996	False	-0.037998
6040_Y_25	-0.163698	-0.163698	-0.243214	0.024271	False	-0.000731
5050_M_none	-0.195836	-0.195836	-0.193822	0.024297	False	-0.000705
5050_M_10	-2.818574	-2.418574	-0.738458	-0.112346	False	-0.137349
5050_M_15	-1.226258	-0.826258	-0.454129	-0.021990	False	-0.046992
5050_M_20	-0.195836	-0.195836	-0.193822	0.024297	False	-0.000705
5050_M_25	-0.195836	-0.195836	-0.193822	0.024297	False	-0.000705
5050_Q_none	-0.197181	-0.197181	-0.193774	0.024240	False	-0.000763
5050_Q_10	-2.816902	-2.416902	-0.738336	-0.112288	False	-0.137290
5050_Q_15	-1.449425	-1.049425	-0.528229	-0.040115	False	-0.065117
5050_Q_20	-0.197181	-0.197181	-0.193774	0.024240	False	-0.000763
5050_Q_25	-0.197181	-0.197181	-0.193774	0.024240	False	-0.000763
5050_Y_none	-0.136193	-0.186193	-0.192610	0.025160	True	0.000157
5050_Y_10	-2.818717	-2.418717	-0.738011	-0.112151	False	-0.137153
5050_Y_15	-1.314270	-0.914270	-0.480306	-0.030270	False	-0.055273
5050_Y_20	-0.136193	-0.186193	-0.192610	0.025160	True	0.000157
5050_Y_25	-0.136193	-0.186193	-0.192610	0.025160	True	0.000157
4060_M_none	-0.237351	-0.237351	-0.140373	0.024852	False	-0.000150
4060_M_10	-2.705500	-2.305500	-0.614701	-0.080702	False	-0.105704
4060_M_15	-0.237351	-0.237351	-0.140373	0.024852	False	-0.000150
4060_M_20	-0.237351	-0.237351	-0.140373	0.024852	False	-0.000150
4060_M_25	-0.237351	-0.237351	-0.140373	0.024852	False	-0.000150
4060_Q_none	-0.238763	-0.238763	-0.140219	0.024813	False	-0.000189
4060_Q_10	-3.064654	-2.664654	-0.679727	-0.092239	False	-0.117241
4060_Q_15	-0.238763	-0.238763	-0.140219	0.024813	False	-0.000189
4060_Q_20	-0.238763	-0.238763	-0.140219	0.024813	False	-0.000189
4060_Q_25	-0.238763	-0.238763	-0.140219	0.024813	False	-0.000189
4060_Y_none	-0.176403	-0.226403	-0.139096	0.025624	True	0.000622
4060_Y_10	-1.475002	-1.075002	-0.441666	-0.022821	False	-0.047823
4060_Y_15	-0.176403	-0.226403	-0.139096	0.025624	True	0.000622
4060_Y_20	-0.176403	-0.226403	-0.139096	0.025624	True	0.000622
4060_Y_25	-0.176403	-0.226403	-0.139096	0.025624	True	0.000622
3070_M_none	-0.262787	-0.312787	-0.086815	0.025063	True	0.000061
3070_M_10	-0.262787	-0.312787	-0.086815	0.025063	True	0.000061
3070_M_15	-0.262787	-0.312787	-0.086815	0.025063	True	0.000061
3070_M_20	-0.262787	-0.312787	-0.086815	0.025063	True	0.000061
3070_M_25	-0.262787	-0.312787	-0.086815	0.025063	True	0.000061
3070_Q_none	-0.263981	-0.313981	-0.086331	0.025060	True	0.000058
3070_Q_10	-0.263981	-0.313981	-0.086331	0.025060	True	0.000058
3070_Q_15	-0.263981	-0.313981	-0.086331	0.025060	True	0.000058
3070_Q_20	-0.263981	-0.313981	-0.086331	0.025060	True	0.000058
3070_Q_25	-0.263981	-0.313981	-0.086331	0.025060	True	0.000058
3070_Y_none	-0.248848	-0.298848	-0.083613	0.025776	True	0.000774
3070_Y_10	-0.248848	-0.298848	-0.083613	0.025776	True	0.000774
3070_Y_15	-0.248848	-0.298848	-0.083613	0.025776	True	0.000774
3070_Y_20	-0.248848	-0.298848	-0.083613	0.025776	True	0.000774
3070_Y_25	-0.248848	-0.298848	-0.083613	0.025776	True	0.000774
