profile	score	sharpe	drawdown	ann_ret	beat	excess
7030_M_none	0.336969	0.436969	-0.378556	0.092927	False	-0.016290
7030_Q_none	0.357391	0.457391	-0.372537	0.094783	False	-0.014434
7030_Y_none	0.352126	0.452126	-0.356080	0.093067	False	-0.016150
7030_M_10	-0.108305	0.291695	-0.403425	0.076335	False	-0.032882
7030_Q_10	-0.100820	0.299180	-0.401424	0.077100	False	-0.032117
7030_Y_10	-0.111803	0.288197	-0.403763	0.075680	False	-0.033537
7030_M_15	0.368663	0.468663	-0.364098	0.096574	False	-0.012643
7030_Q_15	0.326545	0.426545	-0.363438	0.091262	False	-0.017955
7030_Y_15	0.295223	0.395223	-0.361791	0.087514	False	-0.021704
7030_M_20	0.381795	0.481795	-0.362269	0.097257	False	-0.011960
7030_Q_20	0.397899	0.497899	-0.361652	0.098882	False	-0.010336
7030_Y_20	0.399509	0.499509	-0.352961	0.098874	False	-0.010343
7030_M_25	0.356360	0.456360	-0.341789	0.093510	False	-0.015707
7030_Q_25	0.504873	0.504873	-0.294524	0.099589	False	-0.009628
7030_Y_25	0.386792	0.486792	-0.308455	0.096055	False	-0.013162
6040_M_none	0.336643	0.436643	-0.312216	0.086256	False	-0.022962
6040_Q_none	0.360682	0.460682	-0.304554	0.088298	False	-0.020919
6040_Y_none	0.452007	0.452007	-0.284644	0.086404	False	-0.022813
6040_M_10	0.233165	0.333165	-0.359389	0.077086	False	-0.032131
6040_Q_10	0.230772	0.330772	-0.359003	0.076946	False	-0.032271
6040_Y_10	0.226197	0.326197	-0.379846	0.076010	False	-0.033207
6040_M_15	0.386946	0.486946	-0.306964	0.091866	False	-0.017351
6040_Q_15	0.318831	0.418831	-0.306043	0.084853	False	-0.024365
6040_Y_15	0.276205	0.376205	-0.334238	0.080723	False	-0.028494
6040_M_20	0.468669	0.468669	-0.280561	0.089456	False	-0.019761
6040_Q_20	0.533412	0.533412	-0.243893	0.095348	False	-0.013869
6040_Y_20	0.460748	0.460748	-0.280417	0.088009	False	-0.021209
6040_M_25	0.345139	0.445139	-0.322128	0.086958	False	-0.022259
6040_Q_25	0.364898	0.464898	-0.323624	0.088826	False	-0.020391
6040_Y_25	0.344924	0.444924	-0.322485	0.085933	False	-0.023284
5050_M_none	0.404953	0.404953	-0.287816	0.079027	False	-0.030190
5050_Q_none	0.428556	0.428556	-0.289483	0.081043	False	-0.028174
5050_Y_none	0.416107	0.416107	-0.287390	0.079175	False	-0.030042
5050_M_10	0.297231	0.397231	-0.382336	0.080006	False	-0.029211
5050_Q_10	0.298127	0.398127	-0.382590	0.080021	False	-0.029196
5050_Y_10	0.197955	0.297955	-0.303499	0.071125	False	-0.038093
5050_M_15	0.244389	0.344389	-0.322822	0.074608	False	-0.034609
5050_Q_15	0.276581	0.376581	-0.321589	0.077798	False	-0.031420
5050_Y_15	0.269671	0.369671	-0.322487	0.076795	False	-0.032422
5050_M_20	0.239931	0.339931	-0.341841	0.073724	False	-0.035493
5050_Q_20	0.238468	0.338468	-0.360464	0.073603	False	-0.035614
5050_Y_20	0.243675	0.343675	-0.341905	0.073741	False	-0.035476
5050_M_25	0.416028	0.416028	-0.278574	0.080246	False	-0.028971
5050_Q_25	0.440982	0.440982	-0.286466	0.082399	False	-0.026818
5050_Y_25	0.425519	0.425519	-0.278801	0.080228	False	-0.028990
4060_M_none	0.232152	0.332152	-0.300812	0.071205	False	-0.038013
4060_Q_none	0.252582	0.352582	-0.302386	0.073092	False	-0.036125
4060_Y_none	0.237591	0.337591	-0.300193	0.071374	False	-0.037843
4060_M_10	0.222935	0.322935	-0.319696	0.072236	False	-0.036981
4060_Q_10	0.237689	0.337689	-0.319911	0.073837	False	-0.035380
4060_Y_10	0.106282	0.206282	-0.387566	0.060948	False	-0.048270
4060_M_15	0.149423	0.249423	-0.368266	0.064468	False	-0.044749
4060_Q_15	0.164957	0.264957	-0.369538	0.066011	False	-0.043206
4060_Y_15	0.169948	0.269948	-0.367924	0.066318	False	-0.042899
4060_M_20	0.173109	0.273109	-0.369413	0.066651	False	-0.042566
4060_Q_20	0.192178	0.292178	-0.369373	0.068508	False	-0.040709
4060_Y_20	0.160960	0.260960	-0.369422	0.065297	False	-0.043920
4060_M_25	0.224490	0.324490	-0.302149	0.070715	False	-0.038502
4060_Q_25	0.246158	0.346158	-0.302260	0.072688	False	-0.036529
4060_Y_25	0.334172	0.334172	-0.294709	0.071270	False	-0.037947
3070_M_none	0.131300	0.231300	-0.332474	0.062894	False	-0.046323
3070_Q_none	0.146511	0.246511	-0.333728	0.064463	False	-0.044754
3070_Y_none	0.132972	0.232972	-0.325629	0.063040	False	-0.046177
3070_M_10	0.065261	0.165261	-0.398944	0.057407	False	-0.051810
3070_Q_10	0.080956	0.180956	-0.399242	0.059096	False	-0.050121
3070_Y_10	0.013130	0.113130	-0.395874	0.052199	False	-0.057018
3070_M_15	0.081646	0.181646	-0.345113	0.058784	False	-0.050433
3070_Q_15	0.113876	0.213876	-0.346423	0.062135	False	-0.047082
3070_Y_15	0.044275	0.144275	-0.355052	0.055134	False	-0.054084
3070_M_20	0.146706	0.246706	-0.313774	0.064861	False	-0.044357
3070_Q_20	0.189360	0.289360	-0.309289	0.069110	False	-0.040107
3070_Y_20	0.081510	0.181510	-0.372930	0.058586	False	-0.050631
3070_M_25	0.140224	0.240224	-0.340086	0.064010	False	-0.045208
3070_Q_25	0.168777	0.268777	-0.341072	0.066942	False	-0.042275
3070_Y_25	0.150057	0.250057	-0.340892	0.064972	False	-0.044245
